9904
(0, 29)   (1, 0)   (2, 26)   (3, 16)   (4, 24)   (5, 6)   (6, 22)   (7, 14)   (8, 23)   (9, 21)   (10, 28)   (11, 20)   (12, 27)   (13, 25)   (14, 1)   (15, 13)   (16, 12)   (17, 5)   (18, 19)   (19, 9)   (20, 11)   (21, 17)   (22, 10)   (23, 8)   (24, 15)   (25, 18)   (26, 7)   (27, 4)   (28, 3)   (29, 2)
(0, 11)   (1, 14)   (2, 5)   (3, 10)   (4, 3)   (5, 8)   (6, 13)   (7, 22)   (8, 28)   (9, 19)   (10, 26)   (11, 24)   (12, 9)   (13, 29)   (14, 16)   (15, 2)   (16, 25)   (17, 27)   (18, 21)   (19, 15)   (20, 17)   (21, 7)   (22, 23)   (23, 12)   (24, 20)   (25, 6)   (26, 1)   (27, 4)   (28, 0)   (29, 18)
(0, 18)   (1, 29)   (2, 15)   (3, 28)   (4, 26)   (5, 21)   (6, 14)   (7, 9)   (8, 0)   (9, 17)   (10, 5)   (11, 8)   (12, 2)   (13, 20)   (14, 22)   (15, 24)   (16, 23)   (17, 4)   (18, 6)   (19, 13)   (20, 1)   (21, 12)   (22, 19)   (23, 16)   (24, 3)   (25, 27)   (26, 7)   (27, 25)   (28, 11)   (29, 10)
(0, 29)   (1, 0)   (2, 26)   (3, 16)   (4, 24)   (5, 6)   (7, 14)   (8, 23)   (9, 21)   (10, 28)   (11, 20)   (12, 27)   (13, 25)   (15, 13)   (16, 12)   (18, 19)   (19, 9)   (20, 11)   (22, 10)   (23, 8)   (24, 15)   (25, 18)   (26, 7)   (27, 4)   (28, 3)   (29, 17)   (21, 2)   (14, 1)   (6, 22)   (17, 5)
(0, 11)   (1, 14)   (2, 5)   (3, 10)   (5, 8)   (6, 13)   (7, 22)   (8, 28)   (9, 19)   (10, 26)   (11, 24)   (12, 9)   (13, 29)   (14, 16)   (15, 2)   (16, 25)   (17, 27)   (18, 21)   (19, 15)   (20, 17)   (21, 7)   (22, 23)   (23, 12)   (24, 20)   (26, 1)   (27, 4)   (28, 0)   (25, 18)   (29, 6)   (4, 3)
(0, 11)   (1, 14)   (2, 5)   (3, 10)   (4, 3)   (5, 8)   (6, 13)   (8, 28)   (9, 19)   (10, 26)   (11, 24)   (12, 9)   (13, 29)   (14, 16)   (15, 2)   (17, 27)   (18, 21)   (19, 15)   (20, 17)   (21, 7)   (22, 23)   (23, 12)   (24, 20)   (25, 6)   (26, 1)   (27, 4)   (28, 0)   (29, 18)   (7, 25)   (16, 22)
(1, 14)   (3, 10)   (4, 3)   (5, 8)   (6, 13)   (7, 22)   (8, 28)   (9, 19)   (11, 24)   (12, 9)   (13, 29)   (14, 16)   (15, 2)   (17, 27)   (18, 21)   (19, 15)   (20, 17)   (21, 7)   (22, 23)   (23, 12)   (25, 6)   (27, 4)   (29, 18)   (2, 0)   (24, 20)   (28, 5)   (0, 11)   (10, 26)   (16, 25)   (26, 1)
(0, 11)   (1, 14)   (2, 5)   (3, 10)   (4, 3)   (7, 22)   (9, 19)   (11, 24)   (13, 29)   (14, 16)   (16, 25)   (17, 27)   (18, 21)   (19, 15)   (21, 7)   (22, 23)   (23, 12)   (24, 20)   (26, 1)   (27, 4)   (28, 0)   (29, 18)   (5, 8)   (25, 9)   (12, 26)   (10, 2)   (15, 6)   (20, 17)   (6, 13)   (8, 28)
(0, 18)   (1, 29)   (2, 15)   (3, 28)   (5, 21)   (6, 14)   (7, 9)   (8, 0)   (9, 17)   (11, 8)   (12, 2)   (13, 20)   (14, 22)   (15, 24)   (16, 23)   (21, 12)   (22, 19)   (23, 16)   (26, 7)   (27, 25)   (28, 11)   (29, 10)   (24, 27)   (25, 3)   (10, 5)   (18, 6)   (17, 4)   (19, 13)   (4, 1)   (20, 26)
(0, 18)   (1, 29)   (5, 21)   (6, 14)   (7, 9)   (8, 0)   (9, 17)   (13, 20)   (14, 22)   (15, 24)   (21, 12)   (22, 19)   (23, 16)   (26, 7)   (27, 25)   (28, 11)   (29, 10)   (24, 27)   (25, 3)   (19, 13)   (17, 4)   (18, 6)   (10, 23)   (2, 15)   (16, 8)   (11, 5)   (3, 28)   (20, 26)   (4, 1)   (12, 2)
(1, 14)   (3, 10)   (5, 8)   (7, 22)   (11, 24)   (12, 9)   (14, 16)   (15, 2)   (16, 25)   (17, 27)   (18, 21)   (20, 17)   (21, 7)   (22, 23)   (23, 12)   (24, 20)   (26, 1)   (27, 4)   (29, 18)   (0, 3)   (8, 19)   (9, 28)   (6, 13)   (19, 6)   (28, 5)   (4, 0)   (25, 11)   (10, 26)   (13, 29)   (2, 15)
